Category,Order Date,Sales Target,Segment
Office Supplies,4/19/2011,140.97,Consumer
Furniture,4/20/2011,"1,326.17",Consumer
Office Supplies,4/20/2011,38.11,Consumer
Office Supplies,4/21/2011,16.19,Consumer
Office Supplies,4/21/2011,828.84,Corporate
Office Supplies,4/22/2011,257.75,Corporate
Furniture,4/23/2011,614.33,Home Office
Office Supplies,4/23/2011,2.35,Corporate
Office Supplies,4/23/2011,51.32,Home Office
Furniture,4/25/2011,"1,772.39",Home Office
Office Supplies,4/25/2011,313.19,Home Office
Technology,4/25/2011,287.26,Consumer
Furniture,4/26/2011,216.46,Corporate
Office Supplies,4/26/2011,16.82,Corporate
Office Supplies,4/26/2011,34.68,Home Office
Office Supplies,4/28/2011,731.15,Corporate
Technology,4/28/2011,"1,629.56",Consumer
Technology,4/28/2011,159.98,Corporate
Furniture,4/29/2011,63.17,Consumer
Furniture,4/29/2011,578.43,Corporate
Office Supplies,4/29/2011,15.79,Consumer
Office Supplies,4/29/2011,104.92,Corporate
Technology,4/29/2011,19.98,Consumer
Office Supplies,4/30/2011,"1,030.98",Consumer
Technology,4/30/2011,51.14,Consumer
Office Supplies,5/2/2011,24.83,Consumer
Technology,5/2/2011,422.39,Consumer
Office Supplies,5/3/2011,47.5,Consumer
Office Supplies,5/3/2011,23.5,Home Office
Furniture,5/4/2011,24.99,Consumer
Furniture,5/4/2011,10.47,Corporate
Office Supplies,5/4/2011,90.11,Consumer
Office Supplies,5/4/2011,61.72,Corporate
Furniture,5/5/2011,124.03,Consumer
Office Supplies,5/5/2011,37.7,Consumer
Office Supplies,5/5/2011,80.53,Corporate
Office Supplies,5/6/2011,267.18,Home Office
Furniture,5/7/2011,959.91,Consumer
Office Supplies,5/7/2011,23.05,Consumer
Technology,5/8/2011,"1,619.97",Consumer
Office Supplies,5/9/2011,147.6,Corporate
Technology,5/9/2011,228.7,Consumer
Furniture,5/10/2011,521.8,Consumer
Office Supplies,5/10/2011,222.23,Consumer
Technology,5/10/2011,"1,416.58",Consumer
Furniture,5/11/2011,61.48,Consumer
Furniture,5/11/2011,"1,031.02",Corporate
Office Supplies,5/11/2011,33.4,Corporate
Office Supplies,5/11/2011,124.49,Home Office
Technology,5/11/2011,195.48,Consumer
Furniture,5/12/2011,639.32,Consumer
Furniture,5/13/2011,296.22,Corporate
Office Supplies,5/13/2011,59.94,Consumer
Office Supplies,5/13/2011,7.92,Corporate
Office Supplies,5/13/2011,417.62,Home Office
Technology,5/13/2011,151.47,Consumer
Furniture,5/14/2011,341.97,Corporate
Furniture,5/16/2011,204.93,Corporate
Technology,5/16/2011,50.2,Consumer
Office Supplies,5/17/2011,85.26,Home Office
Furniture,5/18/2011,126.85,Consumer
Office Supplies,5/18/2011,17.33,Consumer
Technology,5/18/2011,725.21,Consumer
Office Supplies,5/19/2011,81.54,Consumer
Furniture,5/20/2011,130.67,Corporate
Office Supplies,5/20/2011,128.25,Corporate
Technology,5/20/2011,20.99,Corporate
Furniture,5/21/2011,93.76,Consumer
Office Supplies,5/21/2011,78.34,Consumer
Office Supplies,5/21/2011,"2,634.45",Corporate
Office Supplies,5/21/2011,788.13,Home Office
Technology,5/21/2011,624.15,Corporate
Technology,5/22/2011,168.26,Consumer
Office Supplies,5/23/2011,295.43,Consumer
Technology,5/23/2011,50.22,Consumer
Office Supplies,5/24/2011,108.14,Consumer
Furniture,5/25/2011,27.56,Consumer
Office Supplies,5/25/2011,87.51,Consumer
Furniture,5/26/2011,561.67,Consumer
Furniture,5/26/2011,316.83,Corporate
Office Supplies,5/26/2011,116.02,Consumer
Office Supplies,5/26/2011,44.04,Home Office
Technology,5/26/2011,302.7,Corporate
Furniture,5/27/2011,510.41,Corporate
Office Supplies,5/27/2011,15.19,Consumer
Office Supplies,5/27/2011,355.73,Corporate
Technology,5/27/2011,"1,298.44",Consumer
Office Supplies,5/28/2011,138.33,Consumer
Technology,5/28/2011,87.56,Corporate
Furniture,5/30/2011,312.8,Consumer
Office Supplies,5/30/2011,76.7,Consumer
Office Supplies,5/30/2011,308.81,Corporate
Technology,5/30/2011,"1,160.30",Corporate
Technology,5/31/2011,781.44,Consumer
Furniture,6/1/2011,20.2,Consumer
Furniture,6/1/2011,"2,141.99",Home Office
Office Supplies,6/1/2011,193.88,Corporate
Office Supplies,6/1/2011,"1,808.25",Home Office
Technology,6/1/2011,890.75,Consumer
Furniture,6/2/2011,62.32,Home Office
Office Supplies,6/2/2011,347.23,Consumer
Office Supplies,6/2/2011,61.6,Home Office
Technology,6/2/2011,218.37,Consumer
Furniture,6/3/2011,496.58,Consumer
Office Supplies,6/3/2011,156.06,Consumer
Office Supplies,6/3/2011,15.13,Home Office
Furniture,6/4/2011,458.45,Consumer
Office Supplies,6/4/2011,16.65,Consumer
Office Supplies,6/4/2011,17.36,Home Office
Furniture,6/6/2011,"1,090.94",Corporate
Office Supplies,6/6/2011,126.84,Consumer
Office Supplies,6/6/2011,161.68,Corporate
Office Supplies,6/6/2011,99.24,Home Office
Furniture,6/7/2011,236.66,Consumer
Office Supplies,6/7/2011,13.46,Corporate
Furniture,6/8/2011,614.83,Consumer
Furniture,6/8/2011,158.43,Corporate
Office Supplies,6/8/2011,"1,745.36",Consumer
Furniture,6/9/2011,"2,908.67",Consumer
Furniture,6/9/2011,38.15,Corporate
Office Supplies,6/9/2011,167.72,Consumer
Office Supplies,6/9/2011,91.37,Corporate
Office Supplies,6/9/2011,76,Home Office
Technology,6/9/2011,"1,891.32",Consumer
Technology,6/9/2011,70.54,Home Office
Office Supplies,6/10/2011,481.72,Corporate
Office Supplies,6/13/2011,13.79,Corporate
Furniture,6/14/2011,208.68,Home Office
Furniture,6/15/2011,960.71,Corporate
Office Supplies,6/15/2011,39.1,Consumer
Office Supplies,6/15/2011,8.48,Corporate
Furniture,6/16/2011,693.19,Consumer
Office Supplies,6/16/2011,102.04,Consumer
Furniture,6/17/2011,6.68,Consumer
Office Supplies,6/17/2011,"3,312.83",Consumer
Technology,6/17/2011,62.67,Consumer
Technology,6/18/2011,132.81,Consumer
Furniture,6/20/2011,183.41,Consumer
Office Supplies,6/20/2011,"1,005.35",Consumer
Technology,6/20/2011,564.55,Consumer
Furniture,6/21/2011,116.63,Consumer
Office Supplies,6/21/2011,271.28,Consumer
Technology,6/21/2011,"4,043.01",Consumer
Furniture,6/22/2011,"1,003.51",Consumer
Office Supplies,6/22/2011,698.86,Consumer
Technology,6/22/2011,293.51,Consumer
Office Supplies,6/23/2011,21.96,Consumer
Technology,6/23/2011,75.15,Consumer
Furniture,6/24/2011,4.02,Consumer
Furniture,6/25/2011,470.23,Corporate
Office Supplies,6/25/2011,73.67,Corporate
Technology,6/25/2011,248.12,Corporate
Furniture,6/27/2011,85.98,Consumer
Office Supplies,6/27/2011,318.45,Consumer
Technology,6/27/2011,223.96,Consumer
Furniture,6/28/2011,"1,081.05",Consumer
Office Supplies,6/28/2011,394.8,Consumer
Office Supplies,6/28/2011,6.44,Corporate
Office Supplies,6/29/2011,41.08,Consumer
Office Supplies,6/30/2011,712.79,Consumer
Office Supplies,6/30/2011,80.43,Corporate
Office Supplies,7/1/2011,23.1,Corporate
Technology,7/1/2011,593.2,Corporate
Office Supplies,7/2/2011,5.19,Consumer
Technology,7/2/2011,78.42,Consumer
Office Supplies,7/4/2011,34.44,Consumer
Office Supplies,7/4/2011,178.47,Corporate
Furniture,7/5/2011,253.68,Corporate
Office Supplies,7/5/2011,579.16,Consumer
Office Supplies,7/5/2011,15.45,Corporate
Office Supplies,7/5/2011,191.82,Home Office
Technology,7/5/2011,475.17,Consumer
Furniture,7/6/2011,464.13,Home Office
Technology,7/6/2011,498.39,Consumer
Furniture,7/7/2011,205.01,Consumer
Furniture,7/8/2011,55.58,Consumer
Furniture,7/8/2011,522.59,Corporate
Office Supplies,7/8/2011,180.97,Corporate
Furniture,7/9/2011,127.02,Home Office
Office Supplies,7/9/2011,22.74,Corporate
Office Supplies,7/9/2011,102.82,Home Office
Furniture,7/11/2011,900.73,Corporate
Office Supplies,7/11/2011,81.66,Consumer
Office Supplies,7/11/2011,182.02,Corporate
Technology,7/11/2011,651.92,Consumer
Technology,7/11/2011,184.11,Corporate
Furniture,7/12/2011,120.67,Consumer
Furniture,7/12/2011,768.19,Corporate
Furniture,7/12/2011,543.1,Home Office
Office Supplies,7/12/2011,47.59,Consumer
Office Supplies,7/12/2011,7.1,Corporate
Office Supplies,7/12/2011,320.71,Home Office
Technology,7/12/2011,21.46,Consumer
Technology,7/12/2011,258.5,Home Office
Furniture,7/13/2011,309.07,Corporate
Furniture,7/14/2011,29.75,Consumer
Office Supplies,7/14/2011,89.7,Consumer
Office Supplies,7/14/2011,16.68,Corporate
Office Supplies,7/14/2011,64.55,Home Office
Technology,7/14/2011,37.48,Consumer
Technology,7/14/2011,41.33,Home Office
Office Supplies,7/15/2011,5.62,Corporate
Technology,7/15/2011,2.7,Corporate
Furniture,7/18/2011,279.87,Home Office
Office Supplies,7/18/2011,15.02,Consumer
Furniture,7/19/2011,76.91,Corporate
Office Supplies,7/19/2011,25.68,Corporate
Office Supplies,7/19/2011,6.71,Home Office
Technology,7/19/2011,334.78,Corporate
Furniture,7/20/2011,42.59,Consumer
Furniture,7/20/2011,858.38,Home Office
Office Supplies,7/20/2011,260.44,Consumer
Office Supplies,7/20/2011,482.02,Corporate
Office Supplies,7/20/2011,298.29,Home Office
Technology,7/20/2011,41.1,Corporate
Furniture,7/21/2011,"1,818.96",Corporate
Office Supplies,7/21/2011,164.18,Corporate
Technology,7/21/2011,37.06,Consumer
Furniture,7/22/2011,772.62,Consumer
Office Supplies,7/22/2011,305.87,Consumer
Office Supplies,7/22/2011,20.27,Home Office
Technology,7/22/2011,171.18,Consumer
Office Supplies,7/23/2011,17.92,Consumer
Office Supplies,7/23/2011,44.77,Corporate
Technology,7/23/2011,"1,506.78",Consumer
Technology,7/23/2011,914.04,Corporate
Furniture,7/25/2011,68.57,Consumer
Office Supplies,7/25/2011,"8,735.85",Consumer
Office Supplies,7/25/2011,21.78,Home Office
Furniture,7/26/2011,799.92,Consumer
Office Supplies,7/26/2011,"2,145.29",Consumer
Technology,7/26/2011,"1,453.53",Consumer
Technology,7/26/2011,108.57,Corporate
Office Supplies,7/27/2011,314.7,Corporate
Technology,7/27/2011,204.68,Consumer
Furniture,7/28/2011,128.59,Consumer
Office Supplies,7/28/2011,68.96,Consumer
Furniture,7/30/2011,"1,190.02",Corporate
Furniture,8/1/2011,47.66,Corporate
Office Supplies,8/1/2011,19.55,Consumer
Office Supplies,8/1/2011,152.42,Corporate
Office Supplies,8/1/2011,5.06,Home Office
Office Supplies,8/2/2011,778.57,Home Office
Technology,8/2/2011,18.23,Home Office
Furniture,8/3/2011,203.44,Consumer
Office Supplies,8/3/2011,181.18,Consumer
Office Supplies,8/3/2011,83.72,Home Office
Office Supplies,8/4/2011,"1,553.47",Consumer
Office Supplies,8/4/2011,376.17,Corporate
Technology,8/4/2011,403.96,Consumer
Technology,8/4/2011,263.08,Corporate
Furniture,8/5/2011,704.97,Consumer
Furniture,8/5/2011,"1,178.68",Corporate
Office Supplies,8/5/2011,178.17,Consumer
Office Supplies,8/5/2011,100.99,Corporate
Technology,8/5/2011,14.23,Consumer
Technology,8/5/2011,142.79,Corporate
Technology,8/6/2011,273.41,Consumer
Furniture,8/8/2011,519.95,Consumer
Furniture,8/8/2011,47.95,Home Office
Office Supplies,8/8/2011,454.45,Consumer
Office Supplies,8/8/2011,207.93,Home Office
Technology,8/8/2011,"1,637.40",Consumer
Technology,8/8/2011,909.47,Home Office
Office Supplies,8/9/2011,"2,018.12",Consumer
Office Supplies,8/9/2011,16.95,Corporate
Office Supplies,8/9/2011,22.34,Home Office
Technology,8/9/2011,164.11,Corporate
Technology,8/9/2011,"1,375.85",Home Office
Furniture,8/11/2011,11.61,Consumer
Office Supplies,8/11/2011,461.23,Consumer
Furniture,8/12/2011,80.31,Consumer
Office Supplies,8/12/2011,13.48,Consumer
Office Supplies,8/12/2011,198.17,Corporate
Office Supplies,8/12/2011,268.93,Home Office
Technology,8/12/2011,"1,154.47",Consumer
Technology,8/12/2011,173.23,Home Office
Furniture,8/15/2011,193.18,Consumer
Office Supplies,8/15/2011,660.6,Consumer
Furniture,8/16/2011,725.13,Consumer
Office Supplies,8/17/2011,166.8,Corporate
Technology,8/17/2011,339.96,Corporate
Furniture,8/19/2011,600.49,Consumer
Furniture,8/19/2011,318.16,Corporate
Office Supplies,8/19/2011,103.45,Consumer
Office Supplies,8/19/2011,410.22,Corporate
Furniture,8/20/2011,379.23,Consumer
Furniture,8/20/2011,440.21,Corporate
Office Supplies,8/20/2011,834.57,Corporate
Office Supplies,8/22/2011,19.96,Consumer
Office Supplies,8/22/2011,3.99,Home Office
Furniture,8/23/2011,3.67,Consumer
Office Supplies,8/23/2011,351.84,Consumer
Office Supplies,8/23/2011,52.05,Corporate
Office Supplies,8/23/2011,17.88,Home Office
Technology,8/23/2011,140.77,Consumer
Furniture,8/24/2011,12.08,Corporate
Office Supplies,8/24/2011,40.42,Corporate
Furniture,8/25/2011,5.65,Corporate
Office Supplies,8/25/2011,215.96,Consumer
Office Supplies,8/25/2011,100.81,Corporate
Technology,8/25/2011,997.86,Consumer
Technology,8/25/2011,88.44,Corporate
Furniture,8/26/2011,9.4,Consumer
Office Supplies,8/26/2011,18.44,Consumer
Office Supplies,8/26/2011,8.21,Home Office
Technology,8/26/2011,316.97,Home Office
Furniture,8/27/2011,"1,207.42",Corporate
Office Supplies,8/27/2011,43.3,Consumer
Technology,8/27/2011,183.59,Consumer
Technology,8/27/2011,562.55,Corporate
Furniture,8/29/2011,177.54,Consumer
Office Supplies,8/29/2011,583.13,Consumer
Office Supplies,8/29/2011,113.42,Corporate
Office Supplies,8/30/2011,117.6,Consumer
Technology,8/31/2011,101.77,Consumer
Office Supplies,9/1/2011,101.19,Consumer
Technology,9/1/2011,303.45,Consumer
Furniture,9/2/2011,60.1,Consumer
Office Supplies,9/2/2011,"1,907.81",Consumer
Technology,9/2/2011,708.76,Consumer
Technology,9/2/2011,587.7,Corporate
Office Supplies,9/3/2011,15.84,Consumer
Office Supplies,9/3/2011,8.37,Home Office
Furniture,9/5/2011,31.02,Consumer
Office Supplies,9/5/2011,256.39,Consumer
Furniture,9/6/2011,42.3,Corporate
Office Supplies,9/6/2011,57.9,Corporate
Furniture,9/7/2011,932.34,Consumer
Furniture,9/7/2011,45.76,Corporate
Furniture,9/7/2011,792.66,Home Office
Office Supplies,9/7/2011,377.75,Consumer
Office Supplies,9/7/2011,190.73,Corporate
Office Supplies,9/7/2011,74.4,Home Office
Technology,9/7/2011,511.79,Consumer
Technology,9/7/2011,457.84,Corporate
Technology,9/7/2011,265.38,Home Office
Furniture,9/8/2011,"3,719.51",Consumer
Furniture,9/8/2011,169.31,Home Office
Office Supplies,9/8/2011,"1,500.54",Consumer
Office Supplies,9/8/2011,16.61,Corporate
Office Supplies,9/8/2011,77.58,Home Office
Technology,9/8/2011,"7,364.94",Consumer
Technology,9/8/2011,113.34,Corporate
Furniture,9/9/2011,16.95,Consumer
Furniture,9/9/2011,683.72,Corporate
Furniture,9/9/2011,65.53,Home Office
Office Supplies,9/9/2011,123.55,Consumer
Office Supplies,9/9/2011,"1,609.60",Corporate
Office Supplies,9/9/2011,29.89,Home Office
Technology,9/9/2011,"1,485.21",Consumer
Furniture,9/10/2011,"1,741.94",Consumer
Office Supplies,9/10/2011,104.68,Consumer
Office Supplies,9/10/2011,8.48,Home Office
Furniture,9/11/2011,117.71,Consumer
Furniture,9/12/2011,"3,898.85",Consumer
Furniture,9/12/2011,34.88,Home Office
Office Supplies,9/12/2011,58.74,Consumer
Office Supplies,9/12/2011,155.94,Corporate
Office Supplies,9/12/2011,600.2,Home Office
Technology,9/12/2011,13.54,Corporate
Technology,9/12/2011,110.83,Home Office
Furniture,9/13/2011,15.61,Consumer
Furniture,9/13/2011,329.91,Home Office
Office Supplies,9/13/2011,113.52,Consumer
Office Supplies,9/13/2011,103.93,Corporate
Technology,9/13/2011,750.69,Consumer
Furniture,9/14/2011,551.64,Consumer
Furniture,9/14/2011,10.26,Corporate
Office Supplies,9/14/2011,"1,147.16",Consumer
Office Supplies,9/14/2011,99.7,Corporate
Technology,9/14/2011,"3,167.02",Consumer
Furniture,9/15/2011,14.85,Consumer
Furniture,9/15/2011,106.01,Corporate
Office Supplies,9/15/2011,15.54,Consumer
Office Supplies,9/16/2011,28.52,Corporate
Furniture,9/17/2011,35.34,Consumer
Office Supplies,9/17/2011,561.55,Consumer
Office Supplies,9/17/2011,6.36,Home Office
Technology,9/17/2011,116.43,Consumer
Furniture,9/19/2011,836.09,Corporate
Office Supplies,9/19/2011,72.73,Consumer
Office Supplies,9/19/2011,97.69,Corporate
Office Supplies,9/19/2011,5.22,Home Office
Technology,9/19/2011,"2,598.74",Consumer
Technology,9/19/2011,"5,914.74",Corporate
Furniture,9/20/2011,"2,672.33",Consumer
Office Supplies,9/20/2011,137.84,Consumer
Office Supplies,9/20/2011,12.06,Corporate
Office Supplies,9/20/2011,65.44,Home Office
Technology,9/20/2011,"1,989.43",Consumer
Furniture,9/21/2011,7.26,Home Office
Office Supplies,9/21/2011,233.12,Consumer
Office Supplies,9/21/2011,68.02,Corporate
Office Supplies,9/21/2011,101.14,Home Office
Technology,9/21/2011,"1,943.39",Consumer
Furniture,9/22/2011,670.2,Consumer
Office Supplies,9/22/2011,238.71,Consumer
Office Supplies,9/22/2011,338.17,Corporate
Furniture,9/23/2011,427.28,Corporate
Office Supplies,9/23/2011,"10,083.97",Consumer
Office Supplies,9/23/2011,11.12,Corporate
Office Supplies,9/23/2011,50.57,Home Office
Technology,9/23/2011,90.7,Corporate
Office Supplies,9/24/2011,211.96,Consumer
Furniture,9/25/2011,324.58,Home Office
Office Supplies,9/25/2011,59.25,Home Office
Furniture,9/26/2011,155.76,Consumer
Furniture,9/26/2011,19.7,Corporate
Furniture,9/26/2011,521.14,Home Office
Office Supplies,9/26/2011,165.27,Corporate
Office Supplies,9/26/2011,375.37,Home Office
Technology,9/26/2011,147.67,Consumer
Technology,9/26/2011,3.4,Home Office
Furniture,9/27/2011,591.84,Consumer
Furniture,9/27/2011,84.04,Corporate
Office Supplies,9/27/2011,81.98,Consumer
Furniture,9/28/2011,364.06,Consumer
Office Supplies,9/28/2011,157.8,Corporate
Furniture,9/29/2011,315.52,Consumer
Furniture,9/29/2011,443.1,Corporate
Furniture,9/29/2011,"2,331.43",Home Office
Office Supplies,9/29/2011,"2,625.85",Consumer
Office Supplies,9/29/2011,"1,712.82",Corporate
Technology,9/29/2011,603.96,Consumer
Furniture,9/30/2011,13.72,Corporate
Office Supplies,9/30/2011,189.27,Consumer
Office Supplies,9/30/2011,755.64,Corporate
Office Supplies,10/1/2011,4.52,Home Office
